機器番号,型式,製造番号,カテゴリ
DC-1402,WEP-5208,80,モニタ
DC-2031,ZS-940P,2053,モニタ
DC-2250,TRN-2100,63,AED
DC-2396,ECG-1950,7,検査機器
0,PRM-1120,6,検査機器
0,AAA-30194,3,検査機器
0,PRM-3000,-,検査機器
0,ICS-3000,46221022,治療器救急関連機器
0,ICS-3000,46222357,治療器救急関連機器
0,ICS-3000,46222385,治療器救急関連機器
0,ICS-3000BJ,46230439,治療器救急関連機器
0,ICS-3000BJ,46230440,治療器救急関連機器
0,UBM-2000,M000823,検査機器
0,TG-920P,-,モニタ
0,TG-970P,3145,モニタ
0,TG-970P,3146,モニタ
0,HPF-0101,5120071,治療器救急関連機器
0,HPF-0101,5120023,治療器救急関連機器
0,CPR-B,AJZ1,治療器救急関連機器
0,CPR-B,AJZ2,治療器救急関連機器
0,CPR-B,BYV,治療器救急関連機器
0,CPR-B,1,治療器救急関連機器
0,CPR-B,2,治療器救急関連機器
0,CPR-B,3,治療器救急関連機器
0,CPR-B,4,治療器救急関連機器
DC-3039,ZU-210R,95,その他
DC-4120,PU-621R,41,モニタ
DC-2813,TRN-2150,41,AED
DC-2814,TRN-2150,42,AED
DC-2815,TRN-2150,43,AED
DC-2816,TRN-2150,44,AED
DC-2940,TRN-2150,366,AED
DC-2941,TRN-2150,367,AED
DC-2942,TRN-2150,368,AED
DC-2943,TRN-2150,369,AED
DC-2944,TRN-2150,370,AED
DC-3255,MEK-6500,121,検体
DC-3317,ZS-630P,2576,モニタ
DC-3414,ZS-611P,75,モニタ
DC-3523,ZT-210P,87,モニタ
DC-3187,ZS-630P,2042,モニタ
DC-3189,ZS-630P,2044,モニタ
DC-3550,SEC-5104,7,モニタ
DC-3562,SEC-5104,40,モニタ
DC-4015,WEP-5208,1865,モニタ
0,CC-120B,234,検査機器
DC-3577,QI-600P,1642,モニタ
DC-3577,YS-096P2,DC-3577,モニタ
0,CC-942B,1248,検査機器
0,NY-901B,2015,検査機器
0,NY-902B,2356,検査機器
0,ＮＹ-903Ｂ,2075,検査機器
0,YE-103J,2230,検査機器
0,LS-102J,2106,検査機器
0,AWS-S200,D100038,WJ救急麻酔
0,MSP-1100,D140008,0
DC-4203,CRT-1000,30,システム
DC-4252,TRN-2150,1888,AED
0,IMMUNO　AG1,116549,検査機器
0,ZT-210P,120,モニタ
0,ZT-210P,219,モニタ
0,ZT-210P,138,モニタ
0,ZT-210P,119,モニタ
0,ZT-210P,126,モニタ
0,ZT-210P,220,モニタ
0,ZT-210P,117,モニタ
DC-4502,RMC-5000,10845,検査機器
DC-4497,OptiPlex7020SFFCTO,8D65R42,検査機器
DC-6902,Leonplus,0200010HUL21005576,VG_麻酔器
DC-6925,AX-301D,883,計測器
DC-4750,AWS-S200,D100659,WJ救急麻酔
0,HAMILTON-H900,2401,人工呼吸器
0,HAMILTON-H900,2399,人工呼吸器
0,HAMILTON-H900,2402,人工呼吸器
DC-4799,TRN-3100,A02018,AED
DC-4800,TRN-3100,A02019,AED
DC-4920,TRN-3100,38,AED
DC-4921,TRN-3100,39,AED
DC-4922,TRN-3100,40,AED
DC-4924,TRN-3100,42,AED
DC-4925,TRN-3100,43,AED
DC-4926,TRN-3100,44,AED
DC-4966,QP-550D,3,検査機器
DC-5002,CWS4000,200019-A,WJ救急麻酔
DC-5108,MEE-2000,7,検査機器
DC-5132,EV2750-BK,45014066,システム
0,CWS4000,200491-A,WJ救急麻酔
DC-5167,AWS-S200,D101544,WJ救急麻酔
DC-5168,AWS-S200,D101545,WJ救急麻酔
DC-5169,AWS-S200,495,WJ救急麻酔
DC-5170,AWS-S200,D101547,WJ救急麻酔
0,CWS4000,200534,WJ救急麻酔
0,TRN-2100,14,AED
0,CPR-B,5,AED
0,CPR-B,6,AED
0,CPR-B,7,AED
0,CPR-B,8,AED
0,CPR-C,1,AED
0,KD-106D,1,検査機器
DC-5377,HFA-RPE3-NK,01L05097A,検査機器
0,JA-694P,29,モニタ
0,QP-551V,5926,検査機器
DC-5654,InterStim Ⅱ,NHF037894N,WJニューロ
DC-5676,SAT-1200P,1711140231,WJ検査機器
DC-5677,SAT-1200P,1711140232,WJ検査機器
DC-5694,SAT-1200B,1711100202,WJ検査機器
DC-5708,SAT-1200G,1711130115,WJ検査機器
0,展示会セット,1,展示会
0,展示会セット,2,展示会
DC-5835,CSM-1502,64,モニタ
DC-5885,MEK-1303,29,検体
DC-5886,MEK-1303,39,検体
DC-5887,MEK-1303,32,検体
DC-5882,MEK-1303,43,検体
DC-5884,MEK-1303,44,検体
DC-5958,CSM-1502,241,モニタ
DC-5959,CSM-1502,242,モニタ
DC-5960,CSM-1502(CU-152R),243,モニタ
DC-6014,CSM-1502,43,モニタ
DC-6015,CSM-1502,44,モニタ
DC-6042,OTX-TUP-C035J,9,検査機器
DC-6097,CWS5000,700052,WJ救急麻酔
DC-6098,CWS5000,700053,WJ救急麻酔
DC-6099,CWS5000,700054,WJ救急麻酔
DC-6100,CWS5000,700055,WJ救急麻酔
DC-6136,CU-172R,48,モニタ
DC-6137,CU-172R,49,モニタ
DC-6153,HBP-8000,GC000088AF,検査機器
DC-6163,MEK-1303,362,検体
DC-6165,MEK-1303,364,検体
DC-6167,MEK-1303,366,検体
DC-6169,MEK-1303,378,検体
0,TRN-3100,2542,AED
0,TRN-3100,2543,AED
0,TRN-3100,2544,AED
0,TRN-3100,2545,AED
0,TRN-3100,2546,AED
DC-6195,WEC-7301,1989,モニタ
DC-6233,AED-3150,156,AED
DC-6235,AED-3150,158,AED
DC-6248,AED-3151,108,AED
DC-6250,AED-3151,110,AED
DC-6277,CPR-A,DC-6277,WJ救急麻酔
DC-6278,CPR-B,9,WJ救急麻酔
DC-6279,CPR-B,10,WJ救急麻酔
DC-6283,CPR-A,DC-6283,WJ救急麻酔
DC-6284,CPR-B,DC-6284,WJ救急麻酔
DC-6285,CPR-B,DC-6285,WJ救急麻酔
DC-6207,OTX-TUP-C035J,92,検査機器
DC-6339,CWS5000,700393,WJ救急麻酔
DC-6340,CWS5000,700394,WJ救急麻酔
DC-6341,CWS5000,700395,WJ救急麻酔
DC-6342,CWS5000,700396,WJ救急麻酔
DC-6374,PVM-4763-Q20,87,モニタ
DC-6375,PVM-4763-Q20,88,モニタ
DC-6376,PVM-4763-Q20,89,モニタ
DC-6377,PVM-4763-Q20,90,モニタ
DC-6378,PVM-4763-Q20,91,モニタ
